多遗憾啊！	Too bad.
昨天我去了那裡。	I went there yesterday.
我不知道他是谁。	I don't know who he is.
我直视他的眼睛。	I looked into his eyes.
我们吃完了午餐。	We have finished lunch.
把你的牙刷干净。	Brush your teeth clean.
我本不应该做的。	I shouldn't've done it.
习惯是第二天性。	Habit is second nature.
我找不到我的票。	I can't find my ticket.
我敢说他是对的。	I dare say he is right.
他可能不会来了。	He probably won't come.
谣言说他辞职了。	Rumor says he resigned.
我很高兴见到他。	I was happy to see him.
他被罚了1万日元。	He was fined 10000 yen.
他应该40岁左右吧。	He must be about forty.
他已经去了英国。	He has gone to Britain.
他拉上了他的包。	He zipped his bag shut.
他英语说得很好。	He speaks English well.
他常引用米爾頓。	He often quotes Milton.
他已经气息奄奄。	He was nearing his end.
他觉得自己病了。	He fancies himself ill.
他的数学很不好。	He is terrible at math.
他垒球打得很好。	He is good at baseball.
他们吃很多米饭。	They eat a lot of rice.
她父亲是日本人。	Her father is Japanese.
她老爸是日本人。	Her father is Japanese.
她老爹是日本人。	Her father is Japanese.
她长得像她姑姑。	She resembles her aunt.
她从车里出来了。	She got out of the car.
她是老师的宝贝。	She is a teacher's pet.
她做了場好講演。	She made a good speech.
妈妈煮了十只蛋。	Mother boiled ten eggs.
今天我沒有精神。	I have no energy today.
我明天能见你吗？	May I see you tomorrow?
我的朋友叫我肯。	My friends call me Ken.
这是对的，不是吗？	That's right, isn't it?
今天是几月几号？	What is the date today?
他从中国回来了。	He returned from China.
他从国内回来了。	He returned from China.
我没有任何借口。	I don't have an excuse.
我打了他的肚子。	I hit him in the belly.
咱们吃个西瓜吧！	Let's eat a watermelon!
胡萝卜我来切吧。	Let me cut the carrots.
不用，谢谢。我累了。	No, thanks. I am tired.
不要再咬指甲了。	Stop biting your nails.
我可以去廁所嗎？	May I go to the toilet?
你每天都学习吗？	Do you study every day?
我總是信守承諾。	I always keep promises.
我们在学习中文。	We're learning Chinese.
你真是太热情了。	You're really too kind.
您真是太热情了。	You're really too kind.
我非常喜欢匹萨。	I love pizza very much.
您经常来这儿吗？	Do you come here often?
这个很便宜，对吗？	That's cheap, isn't it?
他是中国的公民。	He's a Chinese citizen.
他从大陆回来了。	He returned from China.
它也会杀死庄稼。	It can also kill crops.
您见过这个人吗？	Have you seen this man?
没有人知道真相。	Nobody knows the truth.
他醉心于爵士乐。	He is crazy about jazz.
她一直都相信我。	She always believes me.
今天已经足够了。	It is enough for today.
我喜欢喝热的汤。	I like to eat hot soup.
我们去看电影吧！	Let’s go to the movies!
她给他一件毛衣。	She gave him a sweater.
我们明天见面吗？	Shall we meet tomorrow?
他叫了一盘杂碎。	He ordered a chop suey.
你认为我疯了吗？	Do you think I'm crazy?
他有时候很奇怪。	He's strange sometimes.
汤姆还在波士顿。	Tom is still in Boston.
汤姆掉进了池塘。	Tom fell into the pool.
关闭他妈的门啊！	Close the fucking door!
汤姆崴了他的脚。	Tom sprained his ankle.
變得更有精神了	I feel much better now.
他们有很多朋友。	They have many friends.
湯姆喝了不少酒。	Tom drinks quite a bit.
湯姆希望你幸福。	Tom hopes you're happy.
我超级迷高尔夫。	I'm a huge fan of golf.
我有一个好主意。	A good idea came to me.
昨天晚上冷不冷？	Was it cold last night?
我承认我大意了。	I admit I was careless.
这个夜晚真美丽。	What a beautiful night!
我们要尽力而为。	We have to do our best.
你知道这件事吗？	Do you know this thing?
这个位子空着吗？	Is this seat available?
你已经要走了吗？	You're leaving already?
你会讲普通话吗？	Can you speak Mandarin?
您会讲普通话吗？	Can you speak Mandarin?
这个问题很严重。	It's a serious problem.
我不喜欢巧克力。	I don't like chocolate.
她出生在墨西哥。	She was born in Mexico.
你买了栋新房子。	You bought a new house.
我不喜欢这首歌。	I don't like this song.
我觉得你妒忌了。	I think you're jealous.
我的男朋友在哭。	My boyfriend is crying.
你和谁一起去那？	Who are you going with?
公主之前在哪里？	Where was the princess?
我们得保护汤姆。	We need to protect Tom.
你最好带上这个。	You'd better take this.
那不是湯姆的錯。	That's not Tom's fault.
我现在不能解释。	I can't explain it now.
汤姆不喜欢下棋。	Tom doesn't like chess.
她什么时候到家？	When will she get home?
是的，我也是学生。	Yes, I'm a student too.
我想是在沙漠里。	In the desert, I think.
她在试一件外衣。	She's trying on a coat.
我只睡了两小时。	I slept just two hours.
我点头以示鼓励。	I nodded encouragingly.
所有人都很吃惊。	Everyone was surprised.
他在抚摸那只狗。	He was petting the dog.
鼓励他做那件事。	Encourage him to do it.
不要太晚去睡觉。	Don't stay up too late.
你真是没完没了	Don't you ever give up?
我沒想瞪著看的。	I didn't mean to stare.
没关系，我可以等。	No problem, I can wait.
谢谢提供新消息。	Thanks for the updates.
我不在床上睡觉。	I don't sleep in a bed.
我要花很长时间。	It'll take a long time.
你现在是名人了。	You're a celebrity now.
湯姆找他的鋼筆。	Tom looked for his pen.
汤姆向我问起你。	Tom asked me about you.
我明天告訴湯姆。	I'll tell Tom tomorrow.
我更願意跟著你。	I'd rather be with you.
晚上要出去玩吗？	Wanna hang out tonight?
那些数字是什么？	What are those numbers?
湯姆踩了我的腳。	Tom stepped on my foot.
所以，哪里有问题？	So where's the problem?
你要买点东西吗？	Will you buy something?
你和我都是男人。	Both you and I are men.
汤姆扭伤了手腕。	Tom sprained his wrist.
我既紧张又害怕。	I'm nervous and scared.
我借了你的枕头。	I borrowed your pillow.
汤姆凝视了双脚。	Tom stared at his feet.
湯姆上週生病了。	Tom was sick last week.
你的车什么颜色？	What color is your car?
我觉得他不在家。	I think he is not home.
我的妹妹是老师。	My sister is a teacher.
他们教我们说话。	They teach us to speak.
汤姆一定能成功。	Tom is sure to succeed.
汤姆真会挖苦人。	Tom is quite sarcastic.
我可以做些什么？	What can I do about it?
告诉她我在路上。	Tell her I'm on my way.
告诉他我在路上。	Tell him I'm on my way.
我只亲过她一次。	I only kissed her once.
那真奇怪，不是么？	That's weird, isn't it?
我认为她会成功。	I think she'll succeed.
过来和我跳舞啊!	Come and dance with me.
我不在就别开始。	Don't start without me.
汤姆可能还活着。	Tom may still be alive.
我的蘋果汁在哪?	Where's my apple juice?
汤姆看起来不饿。	Tom didn't seem hungry.
我找不到掃把了。	I can't find the broom.
我今天沒看到她。	I didn't see her today.
我不会向她屈服。	I won't give up on her.
你应该找到他们。	You'd better find them.
麻煩您稍待一下。	Will you wait a moment?
我们需要做计划。	We need to make a plan.
汤姆在哈佛学习。	Tom studies at Harvard.
木头很容易燃烧。	Wood burns very easily.
没有咖啡剩下来。	There's no coffee left.
我每天都用谷歌。	I use Google every day.
汤姆看起来很帅。	Tom looked pretty good.
我想学阿拉伯语。	I want to learn Arabic.
那匹马去了哪里？	Where did the horse go?
汤姆出了桩事故。	Tom had a bad accident.
他有二十个孩子。	He has twenty children.
我儿子不听我话。	My son doesn't obey me.
我应该寻找什么？	What should I look for?
我爱这里的人们。	I love the people here.
那不是他们的错。	That's not their fault.
汤姆去过波士顿。	Tom has visited Boston.
他又读了一遍诗。	He read the poem again.
我想要去夏威夷。	I want to go to Hawaii.
它有二十个孩子	It has twenty children.
每个人都很困惑	Everybody was confused.
我知道你有痛苦。	We know you're in pain.
我看到你是醒的。	I see you're all awake.
请在7点叫我起床。	Please wake me up at 7.
汤姆根本不高兴。	Tom isn't happy at all.
我非常非常幸运。	I was very, very lucky.
我们一直在一起。	We have stuck together.
这使我们更强大。	This makes us stronger.
这他妈怎么回事？	What the hell happened?
但如果他说不呢？	But what if he says no?
我試著聯絡湯姆。	I tried to contact Tom.
汤姆没有踢足球。	Tom didn't play soccer.
那隻鴨子吃菠蘿。	The duck ate pineapple.
我想汤姆不会来。	I think Tom won't come.
不，汤姆未告诉我。	No, Tom didn't tell me.
汤姆应该多努力。	Tom should work harder.
葡萄牙是共和制。	Portugal is a republic.
你真的拥抱汤姆？	Did you really hug Tom?
萨米查看了地方。	Sami checked the place.
演唱会现在开始。	The concert begins now.
湯姆登上了月球。	Tom landed on the moon.
他说自己饿死了。	He said he was starved.
她说她必须走了。	She said she has to go.
汤姆捣碎了大蒜。	Tom crushed the garlic.
今天早上起雾了。	This morning was foggy.
他为她做了一切。	He gave her everything.
我的房子在海边。	My house is by the sea.
她嚴厲地指責我。	She sternly accuses me.
他嘴里一口方言。	He speaks in a dialect.
他们从不做运动。	They never do exercise.
汤姆拥抱了父母。	Tom hugged his parents.
没人能逃避死亡。	Nobody can avoid death.
我昨晚吃了咖喱。	I ate curry last night.
我喜欢吃加央包。	I love to eat kaya pau.
他明天有德语课。	He has German tomorrow.
我非常喜欢跳舞。	I really like to dance.
今天又下暴雨了。	It stormed again today.
湯姆只是非常累。	Tom is just very tired.
瑪莉穿著高跟鞋。	Mary was in high heels.
湯姆正在煮菠菜。	Tom is cooking spinach.
我非常乐意前来。	I'm very happy to come.
一群狗身上湿了。	A pack of dogs got wet.
那是一个好意见。	That is a good opinion.
我之后该怎么做？	What should I do later?
请你站在我后面。	Please stand behind me.
今天他又迟到了。	He is late again today.
哪间卧室都干净。	Every bedroom is clean.
我才不是討厭咧。	I'm not annoyed at all.
那些是你的朋友。	Those are your friends.
我今天好开心啊。	I'm really happy today.
下周可能会结冰。	It may freeze next week.
您不知道我是谁。	You don't know who I am.
我再也不想要了。	I don't want it anymore.
你能生吃牡蠣嗎？	Can you eat raw oysters?
你们在暗示什么？	What are you driving at?
你专攻什么领域？	What's your major field?
你的穿著非常好。	Your dress is very nice.
你星期二有空嗎？	Are you free on Tuesday?
你周二有没有空？	Are you free on Tuesday?
我们家有五口人。	We are a family of five.
我寧願待在家裡。	I'd rather stay at home.
你什么时候回家？	When will you come home?
我想喝点儿热汤。	I want to eat warm soup.
麦克，你听到了没？	Did you hear that, Mike?
其他的一切都好。	Everything else is fine.
多美好的家庭啊！	What a wonderful family.
你能不能修理它？	Can you get it repaired?
我能借你的刀吗？	May I borrow your knife?
每个人都有个价。	Every man has his price.
湯姆晚餐遲到了。	Tom was late for dinner.
我要怎么上天堂？	How can I get to heaven?
我只是到處看看。	I'm just looking around.
你最好把烟戒掉。	You should quit smoking.
把它放回桌子上。	Put it back on the desk.
你能准时做好吗？	Can you make it on time?
这没有任何意义。	That doesn't make sense.
盒子几乎是空的。	The box is almost empty.
那儿是什么天气？	How's the weather there?
我想要离开这里！	I wanna get out of here!
这个给我来三个。	I'd like three of these.
这个节目是重播。	This program is a rerun.
这部相机多少钱？	How much is this camera?
悉尼离这里很远。	Sydney is far from here.
蛋糕別吃多了啊。	Don't eat too much cake.
谁吃了全部饼干？	Who ate all the cookies?
你是不是想坐下？	Do you want to sit down?
你们想坐一下吗？	Do you want to sit down?
你多久后需要它？	How soon do you need it?
那是我的照片嗎？	Is that a picture of me?
你明天会做什么？	What'll you do tomorrow?
我肯定你会成功。	I'm sure you'll succeed.
你住在筱山市嗎?	Do you live in Sasayama?
你会拉小提琴吗？	Can you play the violin?
幸福是买不到的。	You can't buy happiness.
昨晚你出去了嗎？	Were you out last night?
通常都是我洗碗。	I usually do the dishes.
我们买了张圆桌。	We bought a round table.
我知道你是老师。	I know you're a teacher.
我一般六点起床。	I usually get up at six.
我非常喜欢咖啡。	I like coffee very much.
我喝咖啡不加糖。	I don't sugar my coffee.
我想买这条裙子。	I want to buy the dress.
我想看这部电影。	I want to see the movie.
我請邁克幫助我。	I asked Mike to help me.
我不会再见他了。	I won't see him anymore.
我的童年很快乐。	I had a happy childhood.
我是最快的跑者。	I am the fastest runner.
我节约我有的钱。	I save what money I got.
我二十年前出生。	I was born 20 years ago.
我以为他会来的。	I thought he would come.
我在街上遇到他。	I met him on the street.
我知道她很可爱。	I know that she is cute.
我们七点吃晚饭。	We have dinner at seven.
纸是由木制成的。	Paper is made from wood.
人无法长生不死。	Man cannot live forever.
别把人家当傻瓜。	Don't make a fool of me.
油和水不能混合。	Oil and water don't mix.
正方形有四條邊。	A square has four sides.
请出示您的票子。	Please show your ticket.
您必须预先付钱。	You must pay in advance.
我们有很多听众。	We had a large audience.
太陽都要下山了。	The sun is about to set.
我记得他说的话。	I remember what he said.
我想让他读这个。	I want him to read this.
他会讲十门语言。	He speaks ten languages.
他娶了一个空姐。	He married a stewardess.
他娶了一位空姐。	He married a stewardess.
他不再工作于此。	He no longer works here.
他以前很早起床。	He used to get up early.
他正在画一幅画。	He is drawing a picture.
他目睹了謀殺案。	He witnessed the murder.
他要求我幫助他。	He asked me to help him.
他邀請我吃晚飯。	He invited me to dinner.
他下禮拜要考試。	He has a test next week.
他们进攻了敌人。	They attacked the enemy.
她肯定超过80岁了。	She must be over eighty.
她已经去了美国。	She has gone to America.
她的生活很寂寞。	She lived a lonely life.
她哭得肝腸寸斷。	She cried her heart out.
我去那里看望她。	I went there to see her.
她现在住在哪儿？	Where does she live now?
她照顧了我的狗。	She took care of my dog.
她在樹林裏散步。	She walked in the woods.
她日语说的很好。	She spoke Japanese well.
过去，她想帮他们。	She wanted to help them.
过去，她想帮她们。	She wanted to help them.
让房间保持原样。	Leave the room as it is.
再给我举个例子。	Show me another example.
我妈妈讲话很慢。	My mother speaks slowly.
你不喜欢棒球吗？	Don't you like baseball?
我只是想要你来。	I just want you to come.
我的力气耗尽了。	My strength is all gone.
我明天需要知道。	I need to know tomorrow.
我知道他会画画。	I know that he can draw.
天气非常好，是吧？	Great weather, isn't it?
他的声音很悦耳。	He has a pleasant voice.
我是美国的公民。	I'm an American citizen.
那不是傑克的錯。	That's not Jack's fault.
太郎，你能幫我嗎？	Taro, could you help me?
明天我將拜訪他。	I'll visit him tomorrow.
你不是他的对手。	You're no match for him.
不要忘记您的钱。	Don't forget your money.
不要忘记你的钱。	Don't forget your money.
玛丽给汤姆礼物。	Mary offered Tom a gift.
你喜欢这朵花吗？	Do you like this flower?
我愿意接受建议。	I'm open to suggestions.
这样真的值得吗？	Is this really worth it?
你父亲是日本人。	Your father is Japanese.
没有人投反对票。	No one voted against it.
我不喜欢吃辣的。	I don't like spicy food.
她喜欢独自散步。	She likes walking alone.
她忘了写信给他。	She forgot to write him.
波兰是个大国家。	Poland is a big country.
我认为我快疯了。	I think I'm going crazy.
为什么这有警察？	Why are the police here?
柏林是德国城市。	Berlin is a German city.
这是三天之前了。	That was three days ago.
汤姆躲在门后面。	Tom hid behind the door.
梦想能让我疯狂。	Dreams can drive me mad.
我的兄弟是老师。	My brother is a teacher.
我的弟弟是老师。	My brother is a teacher.
我的哥哥是老师。	My brother is a teacher.
我能借支铅笔吗？	Could I borrow a pencil?
我把房子给你了。	I gave the house to you.
下一个站叫什么?	What's the next station?
我真的非常开心。	I was really very happy.
汤姆认为有希望。	Tom thinks there's hope.
我被熨斗燙傷了。	I was burnt by the iron.
他的房子在河邊。	His house is by a river.
为什么你不理我？	Why are you ignoring me?
她不会读书写字。	She can't write or read.
我不说乌克兰语。	I don't speak Ukrainian.
照照鏡子吧，老兄。	Look in the mirror, pal.
他们玩脱衣扑克.	They played strip poker.
汤姆在骑自行车。	Tom is riding a bicycle.
这一点儿也不好。	This is not good at all.
这本字典是我的。	This dictionary is mine.
开什么国际玩笑。	Don't make stupid jokes.
你是怎么进来的？	How did you get in here?
你有足够的时间。	You have plenty of time.
我依旧相信爱情。	I still believe in love.
我不想让汤姆死。	I don't want Tom to die.
我不想要你死啊。	I don't want you to die.
那是因为我爱她.	It's because I love her.
我想让你穿这件。	I want you to wear this.
你看来不大高兴。	You don't look so happy.
你的眼睛真漂亮。	You have beautiful eyes.
我在油管上看它。	I watched it on YouTube.
我在兩週前到了。	I arrived two weeks ago.
他晚了30分鐘才到。	He came 30 minutes late.
玛丽要一打鸡蛋。	Mary wants a dozen eggs.
他点头以示鼓励。	He nodded encouragingly.
湯姆的手在顫動。	Tom's hands are shaking.
你为什么这么倔？	Why are you so stubborn?
我真的不记得了。	I really don't remember.
我不觉得它很好。	I don't think it's good.
他没有遵守诺言。	He didn't keep his word.
那條褲子太大了。	Those pants are too big.
我真是不能相信。	I just can't believe it.
我不喜欢摇滚乐。	I don't like rock music.
真的到处都是吗？	Is it really everywhere?
真的到处都有吗？	Is it really everywhere?
你什么时候上班？	When did you go to work?
汤姆是法语老师。	Tom is a French teacher.
我能在哪裡洗澡？	Where can I take a bath?
汤姆跑得比我快。	Tom runs faster than me.
那就是你，不是么？	That was you, wasn't it?
很高兴你是对的。	I'm glad you were right.
汤姆握紧了铲子。	Tom clenched the shovel.
湯姆，真的是你嗎？	Tom, is that really you?
这是一家好医院。	This is a good hospital.
那是原创的想法。	That's an original idea.
他总是与众不同。	He was always different.
它们会去打架吗？	Are they going to fight?
你认为我们是谁？	Who do you think we are?
汤姆要帮助我们。	Tom is going to help us.
这就是你们公司？	So this is your company?
汤姆看了看笔记。	Tom looked at his notes.
那你会给我什么？	So, what'll you give me?
来自格雷的情书？	A love letter from Gray?
那條河是危險的。	That river is dangerous.
你一定要回来啊。	You've got to come back.
你最好尽快去做。	You'd better do it soon.
你们怎么进来的？	How did you guys get in?
汤姆不喜欢足球。	Tom doesn't like soccer.
汤姆在休一天假。	Tom is taking a day off.
不想变为成人哟。	I don't want to grow up.
你还需要什么呢？	What else will you need?
你欠我三十美元。	You owe me thirty bucks.
別告訴她任何事。	Don't tell her anything.
我拿了一个给他。	I gave him one of those.
汤姆和他的狗玩。	Tom played with his dog.
没有其他入口了。	There's no other way in.
你的嘴唇很漂亮。	You have beautiful lips.
汤姆认为是酷儿。	Tom identifies as queer.
他当然是无辜的。	Of course he's innocent.
你有着漂亮的腿。	You have beautiful legs.
这不是我的想法。	It didn't cross my mind.
别辞掉你的正职。	Don't quit your day job.
没人给我们机会。	Nobody gave us a chance.
我沒想多管閒事。	I didn't mean to meddle.
他应当受到惩罚。	He needs to be punished.
我觉得太遗憾了。	I have a lot of regrets.
我们在哪里集合？	Where are we assembling?
孩子们爱万圣节。	Children love Halloween.
別在我耳邊大叫。	Do not yell into my ear.
我不想知道这个！	I don't wanna know this.
我真不了解汤姆。	I really don't know Tom.
请原谅我的错误。	Please forgive my error.
汤姆决定去那里。	Tom decided to go there.
我已经三十多了。	I'm already over thirty.
你为什么学德语？	Why do you learn German?
汤姆可能今天做。	Tom might do that today.
湯姆和我是隊友。	Tom and I are teammates.
明惠是我的同事。	Minghui is my colleague.
那是汤姆的字典	That's Tom's dictionary.
告诉我你多大了。	Tell me how old you are.
玛丽说她很生气。	Mary said she was angry.
汤姆说他很好奇。	Tom said he was curious.
湯姆的爸媽在哪？	Where are Tom's parents?
我吃了你的草莓。	I ate your strawberries.
每天吃一顆杏仁。	Eat an almond every day.
他说他是无辜的。	He said he was innocent.
他有希望成功吗？	Does he hope to succeed?
耽誤你的假期了。	It delayed your holiday.
阅读是我的消遣。	Reading is my past-time.
湯姆是你的哥哥。	Tom is your big brother.
他是个倔强的人。	He is a stubborn person.
她很聪明，不是吗？	She is smart, isn't she?
一杯葡萄酒，謝謝。	A glass of wine, please.
那些是真钻石吗？	Are those real diamonds?
二的平方等于四。	Two squared equals four.
我不爱你，玛丽亚。	I don't love you, Maria.
妳的鼻子在流血。	Your noses are bleeding.
我盡量保持合作。	I try to be cooperative.
请你读一下课文。	Please read the passage.
汤姆在胡言乱语。	Tom is talking nonsense.
我觉得我很聪明。	I think I'm intelligent.
这是一个关键点。	This is a crucial point.
这是一个除颤器。	This is a defibrillator.
嗨，你还在这里吗？	Hey, are you still here?
斯庫拉洗了蘋果。	Skura washed the apples.
你的裙子很可爱。	Your skirt is very cute.
汤姆只是摇摇头。	Tom just shook his head.
汤姆昨天喝醉了。	Tom got drunk yesterday.
玛丽是个收银员。	Mary works as a cashier.
我知道你会生气。	I knew you'd be furious.
连笑话也有限制。	Even jokes have a limit.
请读第四十九页。	Please read out page 49.
你写作业了没有？	Did you do the homework?
我不会说世界语。	I don't speak Esperanto.
汤姆没有地方住。	Tom had nowhere to stay.
你拿了些牛奶嗎？	Did you bring some milk?
硬币是金属做的。	Coins are made of metal.
她最近生了孩子。	She recently gave birth.
指紋都是獨特的。	Fingerprints are unique.
借我一支筆好嗎？	Lend me a pen, will you?
我在補習班工作。	I work at a cram school.
慢慢来，不要着急。	Take your time, no rush.
終於被我等到了。	It is here at long last.
你平时做些什么？	What do you do normally?
忍耐是有限度的。	Patience has its limits.
迭戈又敲了一下。	Diego knocked once more.
我喝了太多咖啡。	I drank too much coffee.
我妈妈去购物了。	My mother went shopping.
湯姆更新了網站。	Tom updated his website.
湯姆想要玩遊戲。	Tom wants to play games.
我的普通话很好。	My Chinese is very good.
这可以在网上读。	This can be read online.
那不是我故意的。	That wasn't my intention.
“啊！”是一个感叹词。	"Ah!" is an interjection.
现在假期结束了。	The vacation is over now.
我怀孕四个月了。	I'm four months pregnant.
你身上有铅笔吗？	Do you have a pen on you?
我将去取我的车。	I'm going to take my car.
很高兴再见到您。	I'm glad to see you back.
很高兴再见到你。	I'm glad to see you back.
你做了个坏榜样。	You've set a bad example.
您做了个坏榜样。	You've set a bad example.
你的书在书桌上。	Your book is on the desk.
我当你的担保人.	I will be your guarantor.
你有光明的未来。	You have a bright future.
請穿上你的鞋子。	Please put on your shoes.
天空中繁星点点。	The sky is full of stars.
教育从家庭开始。	Education starts at home.
火是非常危險的。	Fire is always dangerous.
凡事行中庸之道。	Moderation in all things.
我不想独自前往。	I don't want to go alone.
我们是人，不是神。	We are but men, not gods.
我没想那样做的。	I didn't mean to do that.
请将收音机打开。	Please turn on the radio.
我再也受不了了！	I can't stand it anymore.
差不多该开始了。	It's about time to start.
玛丽还没有开始。	Mary has not started yet.
玛丽已经开始了。	Mary has already started.
我还晕晕乎乎的。	My head still felt giddy.
麦克和肯是朋友。	Mike and Ken are friends.
你不能待在床上。	You must not stay in bed.
面包是面粉做的。	Bread is made from flour.
汤姆终于戒烟了。	Tom finally quit smoking.
湯姆年齡沒你大。	Tom is not as old as you.
它从哪里离开的？	Where does it leave from?
你怎么一言不发？	How come you say nothing?
鸡蛋是论打买的。	We buy eggs by the dozen.
这没有任何区别。	That makes no difference.
这很对我的味口。	That's quite to my taste.
这个几乎不可能。	It is next to impossible.
把槍放在桌子上。	Put the gun on the table.
信的内容是什么？	What is the letter about?
那会儿你干嘛呢？	What were you doing then?
这些是很旧的书。	These are very old books.
请填写这份表格。	Please fill in this form.
这个问题不简单。	This question isn't easy.
我不能收这份礼。	I can't accept this gift.
这湖里有许多鱼。	Fish abound in this lake.
这个价格含了税。	This amount includes tax.
这件衬衫多少钱？	How much is this T-shirt?
这里允许拍照吗？	Can I take pictures here?
卷心菜可以生吃。	Cabbage can be eaten raw.
你相信鬼存在吗？	Do you believe in ghosts?
你相信有鬼魂吗？	Do you believe in ghosts?
你相信有幽灵吗？	Do you believe in ghosts?
我打赌他没搞定。	I bet he doesn't make it.
是时候洗个澡了。	It's time to take a bath.
那花闻起来很香。	That flower smells sweet.
你知道我住哪吗？	Do you know where I live?
你的家庭有多大？	How large is your family?
你在哪裡打網球？	Where do you play tennis?
你说的不是真的。	What you said isn't true.
一年有十二个月。	A year has twelve months.
我在这里待到10点。	I'll stay here until ten.
好奇会吃苦头的。	Curiosity killed the cat.
你有时间再做吧。	Do it when you have time.
我今天沒有功課。	I have no homework today.
你来这里出差的？	Are you here on business?
我会跟她解释的。	I will explain it to her.
我的工作是洗碗。	My job is to wash dishes.
我住在我姑姑家。	I'm staying at my aunt's.
我喝了兩杯咖啡。	I had two cups of coffee.
我对运动感兴趣。	I'm interested in sports.
我通常走去学校。	I usually walk to school.
我非常喜欢英语。	I like English very much.
我正在给花浇水。	I'm watering the flowers.
我必须到银行去。	I have to go to the bank.
我希望你去那裡。	I'd like you to go there.
昨天我很早起床。	I got up early yesterday.
我犯了严重错误。	I made a serious mistake.
我最不喜欢数学。	I like math least of all.
我学习日本历史。	I study Japanese history.
周日我去做礼拜。	I go to church on Sunday.
我看到他进房间。	I saw him enter the room.
我希望会看见她。	I hope that I'll see her.
我邀請珍吃晚飯。	I invited Jane to dinner.
我坐火车回家了。	I returned home by train.
我坐火车回了家。	I returned home by train.
我们结束了讨论。	We closed the discussion.
我想用支票付款。	I'd like to pay by check.
你最好休息一下。	You'd better relax a bit.
请再给我一些水。	I'd like some more water.
正的声音很温柔。	Tadashi has a soft voice.
我们试着劝了他。	We tried to persuade him.
不用担心其他人。	Don't worry about others.
太阳在西边落下	The sun sets in the west.
太阳在西边下山。	The sun sets in the west.
太阳在西边落下。	The sun sets in the west.
我该取消通话吗?	Should I cancel the call?
我承认他是对的。	I admit that he is right.
你可以向他求助。	You can ask him for help.
您多久见他一次？	How often do you see him?
我提供了他食物。	I provided him with food.
他的衣服穿坏了。	His clothes are worn out.
他一整天都很忙。	He was very busy all day.
他总是遵守诺言。	He always keeps his word.
他不是癌症死的。	He did not die of cancer.
他吉他彈得很好。	He plays the guitar well.
他喝了一杯咖啡。	He drank a cup of coffee.
我担心他会失败。	I am afraid he will fail.
他幾乎一直在家。	He is almost always home.
他去歐洲旅行了。	He took a trip to Europe.
他去歐洲旅了遊。	He took a trip to Europe.
他弄丢了电影票。	He lost his movie ticket.
他的钱包被偷了。	He had his wallet stolen.
他昨晚睡得很好。	He slept well last night.
他被控告杀人罪。	He was accused of murder.
他让我离开房间。	He let me leave the room.
他比我重十公斤。	He outweighs me by 10 kg.
他住在鄉下地區。	He dwells in the country.
他不顧我的忠告。	He disregarded my advice.
他非常喜欢棒球。	He really likes baseball.
我对她一无所知。	I know nothing about her.
她的英语好极了。	Her English is excellent.
她不在，我很孤独。	I was lonely without her.
她也喜欢巧克力。	She loves chocolate, too.
她是禮貌的化身。	She is politeness itself.
她慢慢移动向前。	She slowly moved forward.
她看起来像老师。	She looks like a teacher.
她现在正在工作。	She is at work right now.
她看着我的眼睛。	She looked me in the eye.
她请了我吃晚饭。	She invited me to dinner.
你必须遵守法律。	You must observe the law.
你有很多朋友吗？	Do you have many friends?
他为什么不回来？	Why doesn't he come back?
这条河水流湍急。	This river flows rapidly.
她派他去工作了。	She laid the work on him.
法语课上得怎样？	How was the French class?
我要一杯冰红茶。	I want a cup of iced tea.
这座城堡很美丽。	This castle is beautiful.
你们不想吃饭吗？	Wouldn't you like to eat?
新官上任三把火。	A new broom sweeps clean.
贝蒂是连环杀手。	Betty is a serial killer.
我很高兴见到你。	I'm delighted to see you.
我觉得您过火了。	I think you went too far.
你在撒謊，不是嗎？	You're lying, aren't you?
昨天他喝了很多。	He drank a lot yesterday.
我不知道说什么。	I don't know what to say.
这面旗子很漂亮。	This flag is very pretty.
我想要本好词典。	I want a good dictionary.
您今天做了什么？	What have you done today?
我想跟約翰談談。	I'd like to talk to John.
你的电话是多少？	What's your phone number?
他邊走邊吹口哨。	He whistled as he walked.
什么都无法解释。	Nothing can be explained.
他住在苹果里面。	He lives inside an apple.
她把照片给他看。	She showed him the photo.
那些衛星在哪裡？	Where are the satellites?
我的手表很精准。	My watch is very precise.
我明天不在这儿。	Tomorrow I won't be here.
我不想让你伤害。	I don't want to hurt you.
六边形有六条边。	An hexagon has six sides.
你擋住我的光了。	You're blocking my light.
我每天喂一次狗。	I feed my dog once a day.
政治迫害开始了。	The witch hunt has begun.
你有多少頂帽子？	How many hats do you own?
只有直子喝咖啡。	Only Naoko drinks coffee.
明天我会去问他。	Tomorrow, I will ask him.
今天你要干什么？	What are you doing today?
热情具有传染性。	Enthusiasm is contagious.
汤姆做得很出色。	Tom did an excellent job.
我有两本英语书。	I have two English books.
你了解汤姆多少？	How well do you know Tom?
你喜欢中国菜吗？	Do you like Chinese food?
妈妈，你要去哪里？	Where are you going, Mom?
他们一定很恨我。	They must really hate me.
欢迎作任何评论。	Any comments are welcome.
汤姆被人捅死了。	Tom was stabbed to death.
我弟弟们是海豚。	My brothers are dolphins.
他拒绝相信我们。	He refuses to believe us.
汤姆把信撕碎了。	Tom ripped up the letter.
他们都不是司机。	None of them are drivers.
